,"Quinta-feira, 29 de Agosto de 2019","Quinta-feira, 29 de agosto de 2019 – Governador em exercício","Quarta-feira, 28 de Agosto de 2019","Quarta-feira, 28 de agosto de 2019 – Governador em exercício","Terça-feira, 27 de agosto de 2019","Segunda-feira, 26 de agosto de 2019","Sábado, 24 de agosto de 2019","Sexta-feira, 23 de agosto de 2019","Quinta-feira, 22 de agosto de 2019","Quarta-feira, 21 de agosto de 2019"
0,"Tour por fábricas automotivas Horário: 9h às 10h Local: Wolfsburg, Alemanha","Participação na Agenda Araraquara 2019 – “Compromisso com o Futuro” Horário: 9h às 9h30 Local: Centro Internacional de Convenção “Dr. Nelson Barbieri” – Rua Ivo Antônio Magnani, nº 430 – Fonte Luminosa – Araraquara/SP",Chegada a Frankfurt Horário: 10h45,"Reunião sobre orçamento do DER, com a Secretaria de Logística e Transportes e a Diretoria do DER Horário: 9h às 10h30 Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício",Solenidade de abertura do Congresso do Latam Retail Show 2019 Horário: 8h40 às 9h30 Local: Expo Center Norte – Vila Guilherme – São Paulo/SP,"Inauguração da Estação Jardim Planalto da Linha 15-Prata do Metrô Horário: 8h30 às 9h15 Local: Av. Sapopemba, 10.000 – São Paulo/SP","Abertura da plenária da 4ª Reunião de Governadores do Cosud (Consórcio de Integração Sul-Sudeste) + Discursos dos Governadores Horário: 8h15 às 9h Local: Palácio Anchieta – Salão Santiago – Praça João Clímaco, 142 – Centro – Vitória/ES",Reunião de secretariado Horário: 8h às 12h Local: Palácio dos Bandeirantes – Sala São Paulo,"Despacho com o Chefe de Gabinete, Wilson Pedroso Horário: 8h30 às 9h Local: Palácio dos Bandeirantes – Gabinete do Governador","Café da manhã com o Presidente Global da Nestlé, Mark Schneider; e o Presidente da Nestlé Brasil, Marcelo Melchior Horário: 8h às 9h Local: Palácio dos Bandeirantes – Ala Residencial"
1,Apresentação do sistema dual de formação profissional “Dual System Halle 103” Horário: 10h30 às 12h,"Convênio para obras de infraestrutura – rotatória e acessos da SPA-486 – Rodovia 2º Sargento Luciano Arnaldo Covolan + Assinatura de autorizo de liberação de recurso para obra de infraestrutura urbana para o município de Araçatuba Horário: 11h às 12h Local: Rodovia 2º Sargento Luciano Arnaldo Covolan, altura do nº 503 – Bairro Aparecida -Penápolis/SP",Partida para Hannover Horário: 12h40,"Reunião sobre Rodoanel e Tamoios, com a Secretaria de Logística e Transportes, a Artesp, a Assessoria Jurídica de Governo, a Dersa e a Subsecretaria de Parcerias e Inovação Horário: 10h30 às 12h30 Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício","Solenidade de abertura do Salão Internacional de Avicultura e Suinocultura Horário: 10h30 às 11h30 Local: Parque do Anhembi – Av. Olavo Fontoura, nº 1.209 – São Paulo/SP","Despacho com o Chefe de Gabinete, Wilson Pedroso Horário: 10h às 10h30 Local: Palácio dos Bandeirantes – Gabinete do Governador","Participação dos painéis Horário: 9h05 às 10h20 Local: Palácio Anchieta – Salão Santiago – Praça João Clímaco, 142 – Centro – Vitória/ES","Coletiva de imprensa sobre o Programa SP Gastronomia + sanção do Projeto de Lei 435/2019 de autoria da Deputada Janaína Paschoal, que garante a gestante a possibilidade de optar pelo parto cesariano, com Secretários Estaduais Horário: 12h às 13h Local: Palácio dos Bandeirantes – Sala de Imprensa","Despacho com o Secretário de Comunicação, Cleber Mata; e o Coordenador de Marketing, Duílio Malfatti Horário: 11h às 11h30 Local: Palácio dos Bandeirantes – Gabinete do Governador","Coletiva de Imprensa com o Presidente da Gol Linhas Aéreas, Paulo Kakinoff; o Secretário de Turismo, Vinicius Lummertz; o Presidente da Associação Brasileira das Empresas Aéreas, Eduardo Sanovicz; e o Presidente do Conselho Administrativo do São Paulo Convention & Visitors Bureau, Raul Sulzbacher Horário: 9h às 10h Local: Palácio dos Bandeirantes – Sala de Imprensa"
2,Reunião com executivos e dirigentes empresariais do setor automotivo da Alemanha Horário: 13h45 às 14h30,Assinatura de liberação de recursos do Fundo de Interesses Difusos – FID Horário: 15h às 16h30 Local: Palácio dos Bandeirantes – Sala São Paulo,Chegada a Hannover Horário: 13h30,"Despacho com o Diretor-Geral da Artesp, Giovanni Pengue Filho Horário: 12h30 às 13h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício","Reunião com o Presidente da Hapag-Lloyd, Oscar Hasbun; o empresário Cristian Bofill; o Secretário Executivo da Fazenda e Planejamento, Milton Santos; e a Secretária de Desenvolvimento Econômico, Patrícia Ellen Horário: 15h às 16h Local: Palácio dos Bandeirantes – Gabinete do Governador","Almoço com o Presidente do Tribunal de Contas do Estado de SP, Conselheiro Antonio Roque Citadini; Conselheiros do Tribunal de Contas do Estado de São Paulo; o Vice-Governador e Secretário de Governo, Rodrigo Garcia; e Secretários Estaduais Horário: 13h às 14h30 Local: Palácio dos Bandeirantes – Ala Residencial","Reunião dos Governadores para elaboração da Carta de Vitória Horário: 10h20 às 12h Local: Palácio Anchieta – Gabinete do Governador do Espírito Santo – Praça João Clímaco, 142 – Centro – Vitória/ES",Reunião do Projeto “Novo Ceagesp e Projeto Citi” Horário: 14h30 às 16h Local: Palácio dos Bandeirantes – Salão de Despachos,Lançamento do Programa de Parcerias da Secretaria de Desenvolvimento Regional Horário: 12h às 13h Local: Palácio dos Bandeirantes – Auditório Ulysses Guimarães,Abertura do Encontro com Secretários Estaduais de Esportes do Brasil Horário: 10h às 11h Local: Palácio dos Bandeirantes – Sala São Paulo
3,Coletiva de imprensa Horário: 14h45 às 15h45,"Reunião com a Diretoria da Rumo Logística, o Deputado Federal Enrico Misasi e o Deputado Estadual Reinaldo Alguz Horário: 16h30 às 17h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício","Jantar no Restaurante Terra com empresários alemães e a delegação do Governo de SP Horário: 18h45 às 20h30 Local: Parkstraße 1, 38440 Wolfsburg, Alemanha","Reunião com o Prefeito de Botucatu, Mário Eduardo Pardini Affonseca Horário: 14h30 às 15h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício","Reunião com o Governador do Pará, Helder Barbalho; o Secretário de Turismo, Vinicius Lummertz; e o Secretário de Relações Internacionais, Julio Serson Horário: 16h às 16h30 Local: Palácio dos Bandeirantes – Gabinete do Governador","Reunião com o Governador do Pará, Helder Barbalho; o Secretário de Turismo, Vinicius Lummertz; e o Secretário de Relações Internacionais, Júlio Serson Horário: 16h30 às 17h15 Local: Palácio dos Bandeirantes – Gabinete do Governador","Coletiva de Imprensa Horário: 12h às 12h30 Local: Palácio Anchieta – Salão Nobre – Praça João Clímaco, 142 – Centro – Vitória/ES","Reunião com Presidências e Diretorias da Aneel, Enel, Isa Cteep, Emae e Secretário de Infraestrutura e Meio Ambiente, Marcos Penido Horário: 16h às 17h Local: Palácio dos Bandeirantes – Gabinete do Governador","Almoço com o Secretário de Desenvolvimento Regional, Marco Vinholi Horário: 13h às 14h Local: Palácio dos Bandeirantes – Ala Residencial","Despacho com o Secretário de Comunicação, Cleber Mata; e o Coordenador de Marketing, Duílio Malfatti Horário: 11h às 11h30 Local: Palácio dos Bandeirantes – Gabinete do Governador"
4,"Jantar com empresários, jornalistas e a delegação do Governo de SP Horário: 18h30 às 20h","Despacho com o Secretário de Transportes Metropolitanos, Alexandre Baldy; a Diretoria da EMTU e o Prefeito de Praia Grande, Alberto Mourão Horário: 17h às 18h30 Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício",,"Despacho com o Subsecretário de Ações Estratégicas, Pablo Uhart Horário: 15h às 15h30 Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício",Decolagem para Frankfurt / Alemanha Horário: 18h15,Entrevista para a Agência Chinesa de Notícias Xinhua Horário: 17h30 às 18h Local: Palácio dos Bandeirantes – Gabinete do Governador,"Almoço dos Governadores do Sul e Sudeste do Cosud Horário: 12h30 às 14h30 Local: Palácio Anchieta – Salão Negro – Praça João Clímaco, 142 – Centro – Vitória/ES","Assinatura de autorizo do futuro Hospital Regional de Barueri + inauguração do Centro de Diagnósticos de Barueri com Secretário de Saúde, José Henrique Germann Horário: 17h30 às 18h15 Local: Centro de Diagnósticos de Barueri – Av. Sebastião Davino dos Reis, 786 – Vila Porto – Barueri/SP","Reunião com o Deputado Federal Roberto de Lucena e o Secretário de Desenvolvimento Regional, Marco Vinholi Horário: 16h30 às 16h45 Local: Palácio dos Bandeirantes – Gabinete do Governador","Almoço com o Vice-Governador e Secretário de Governo, Rodrigo Garcia; e o Secretário da Fazenda e Planejamento, Henrique Meirelles Horário: 12h30 às 14h Local: Palácio dos Bandeirantes – Ala Residencial"
5,,"Reunião sobre o Vale do Ribeira, com o Secretário de Desenvolvimento Regional, Marco Vinholi; o Secretário Particular do Governador, Wilson Pedroso; a Secretária Executiva do Governador, Juliana Velho; a Secretária de Desenvolvimento Econômico, Patrícia Ellen; o Secretário de Infraestrutura e Meio Ambiente, Marcos Penido; o Secretário de Logística e Transportes, João Octaviano; a Secretária de Desenvolvimento Social, Célia Parnes; o Secretário da Justiça e Cidadania, Paulo Dimas; o Secretário de Comunicação, Cleber Mata; o Secretário de Turismo, Vinicius Lummertz; o Presidente do Fundo Social de SP, Filipe Sabará; a Procuradora Geral do Estado, Lia Porto; o Presidente da InvestSP, Wilson Mello; o Diretor-Presidente da DesenvolveSP, Nelson de Souza; o Presidente da Sabesp (Companhia de Saneamento Básico do Estado de SP), Benedito Braga; a Presidente da Cetesb (Companhia Ambiental do Estado de SP), Patrícia Iglecias; o Superintendente do DER (Departamento de Estradas de Rodagem), Paulo Cesar Tagliavini; e o Diretor Executivo do Itesp (Instituto de Terras do Estado de SP), Claudemir Peres Francisco de Oliveira Horário: 18h30 às 19h30 Local: Palácio dos Bandeirantes – Salão dos Despachos",,Despacho com a Assessoria Parlamentar Horário: 15h30 às 16h30 Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício,,"Despacho com o Vice-Governador e Secretário de Governo, Rodrigo Garcia Horário: 19h às 19h30 Local: Palácio dos Bandeirantes – Gabinete do Governador","Apresentações da 4ª Reunião de Governadores do Cosud Horário: 14h30 às 16h Local: Palácio Anchieta – Gabinete do Governador do Espírito Santo – Praça João Clímaco, 142 – Centro – Vitória/ES",Decolagem para Vitória/ES Horário: 19h,"Reunião com o Deputado Federal Nilson Leitão e o Secretário Especial e Chefe do Escritório do Governo de SP em Brasília, Antônio Imbassahy Horário: 17h às 18h Local: Palácio dos Bandeirantes – Gabinete do Governador","Reunião com o novo Embaixador do Brasil na Itália, Helio Vitor Ramos; o Vice-Governador e Secretário de Governo, Rodrigo Garcia; o Secretário de Relações Internacionais, Julio Serson; e o Secretário Executivo de Relações Internacionais, Embaixador Affonso Massot Horário: 14h30 às 15h30 Local: Palácio dos Bandeirantes – Gabinete do Governador"
6,,"Despacho com a Subsecretária de PPP, Tarcila Reis Jordão; e o Diretor de Controle Econômico e Financeiro da Artesp, Rafael Benini Horário: 20h às 21h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício",,Assinatura de contrato de financiamento da DesenvolveSP com a Prefeitura Municipal de Suzano Horário: 16h30 às 17h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício – Sala de Reuniões,,Cerimônia de Premiação “Melhores e Maiores 2019” – Revista Exame – Editora Abril Horário: 20h às 20h30 Local: Sala São Paulo – São Paulo/SP,"Plenária final e encerramento da 4ª Reunião de Governadores do Cosud Horário: 16h às 17h30 Local: Palácio Anchieta – Salão Santiago – Praça João Clímaco, 142 – Centro – Vitória/ES",Chegada em Vitória/ES Horário: 20h15,"Reunião do Projeto “Novo Museu do Ipiranga”, com o Reitor da USP, Vahan Agopyan; o Vice-Reitor da USP, Antonio Carlos Hernandes; o Secretário de Cultura e Economia Criativa, Sérgio Sá Leitão; e o Secretário de Infraestrutura e Meio Ambiente, Marcos Penido Horário: 18h às 19h Local: Palácio dos Bandeirantes – Gabinete do Governador","Reunião com a Vice-Presidente do Fórum Econômico Mundial, Marisol Argueta; e a Secretária de Desenvolvimento Econômico, Patrícia Ellen Horário: 15h30 às 16h30 Local: Palácio dos Bandeirantes – Gabinete do Governador"
7,,,,"Despacho com o Secretário Executivo da Fazenda e Planejamento, Milton Santos; e a Diretoria da Prevcom Horário: 17h às 18h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício",,,Decolagem para São Paulo/SP Horário: 18h15,"Jantar dos Governadores do Sul e Sudeste, no Cosud Horário: 20h30 às 22h30 Local: Residência Oficial do Governo – Praia da Costa, s/nº, Vila Velha/ES","Reunião do Conselho de Segurança Pública do Estado de SP, com o Vice-Governador e Secretário de Governo, Rodrigo Garcia; o Secretário da Segurança Pública, General João Camilo Pires de Campos; e participantes Horário: 19h às 20h30 Local: Palácio dos Bandeirantes – Gabinete do Governador",Coletiva de Imprensa sobre reunião do Fórum Econômico Mundial América Latina – Maio 2020 Horário: 16h30 às 17h Local: Palácio dos Bandeirantes – Sala de Imprensa
8,,,,Reunião com Conselheiro do TCE/SP Horário: 18h às 19h Local: Palácio dos Bandeirantes – Gabinete do Governador em exercício,,,Pouso em São Paulo/SP Horário: 19h30, ,"Despacho com o Vice-Governador e Secretário de Governo, Rodrigo Garcia Horário: 20h30 às 21h Local: Palácio dos Bandeirantes – Gabinete do Governador","Reunião com o Presidente da Nestlé Brasil, Marcelo Melchior; o Diretor Executivo de Negócios da Nestlé Purina, Marcel Barros; e Secretários Estaduais Horário: 17h às 18h Local: Palácio dos Bandeirantes – Gabinete do Governador"
9,,,,"Participação na cerimônia de entrega da 25ª Edição do Prêmio Master Imobiliário Horário: 20h às 21h30 Local: Clube Atlético Monte Líbano – Av. República do Líbano, 2.267 – Jardim Luzitânia – São Paulo/SP",,,,,,"Reunião com o Secretário de Relações Internacionais, Julio Serson; o Secretário Executivo de Relações Internacionais, Embaixador Affonso Massot; o Presidente da InvestSP, Wilson Mello; o Secretário de Comunicação, Cleber Mata; e o Coordenador de Marketing, Duílio Malfatti Horário: 18h às 19h Local: Palácio dos Bandeirantes – Gabinete do Governador"
