,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song
0,0.439,0.968,7,-4.551,1,0.0775,4.1e-05,0.0409,0.12,0.255,101.59,audio_features,5Mp3MFneLLCVGW3O5kYMvm,spotify:track:5Mp3MFneLLCVGW3O5kYMvm,https://api.spotify.com/v1/tracks/5Mp3MFneLLCVGW3O5kYMvm,https://api.spotify.com/v1/audio-analysis/5Mp3MFneLLCVGW3O5kYMvm,278200,4,Satan Is Real
1,0.41,0.955,0,-4.865,1,0.125,1.05e-05,0.442,0.241,0.292,152.074,audio_features,4VHZuLcWwZV0ZJqMbFNYCO,spotify:track:4VHZuLcWwZV0ZJqMbFNYCO,https://api.spotify.com/v1/tracks/4VHZuLcWwZV0ZJqMbFNYCO,https://api.spotify.com/v1/audio-analysis/4VHZuLcWwZV0ZJqMbFNYCO,242320,3,Hail to the Hordes
2,0.258,0.964,7,-5.719,1,0.218,2.63e-05,0.00759,0.282,0.261,125.591,audio_features,5PFhkQbjJge1h8k7wE1K5U,spotify:track:5PFhkQbjJge1h8k7wE1K5U,https://api.spotify.com/v1/tracks/5PFhkQbjJge1h8k7wE1K5U,https://api.spotify.com/v1/audio-analysis/5PFhkQbjJge1h8k7wE1K5U,250227,4,Pleasure to Kill
3,0.25,0.988,1,-4.56,1,0.0955,1.8e-05,0.00309,0.121,0.122,97.657,audio_features,0xqxvwQCDB4JzC9E1pKViY,spotify:track:0xqxvwQCDB4JzC9E1pKViY,https://api.spotify.com/v1/tracks/0xqxvwQCDB4JzC9E1pKViY,https://api.spotify.com/v1/audio-analysis/0xqxvwQCDB4JzC9E1pKViY,268280,4,World War Now
4,0.471,0.989,2,-4.58,1,0.135,2.97e-05,0.0022,0.16,0.224,102.691,audio_features,7ePpV892UY1KFiqzw659sJ,spotify:track:7ePpV892UY1KFiqzw659sJ,https://api.spotify.com/v1/tracks/7ePpV892UY1KFiqzw659sJ,https://api.spotify.com/v1/audio-analysis/7ePpV892UY1KFiqzw659sJ,285280,4,Totalitarian Terror
5,0.436,0.98,7,-5.235,1,0.0827,5.86e-05,0.0661,0.17,0.127,104.695,audio_features,024L4YpuCporBW4V2WaZuv,spotify:track:024L4YpuCporBW4V2WaZuv,https://api.spotify.com/v1/tracks/024L4YpuCporBW4V2WaZuv,https://api.spotify.com/v1/audio-analysis/024L4YpuCporBW4V2WaZuv,351373,4,Gods Of Violence
6,0.515,0.942,9,-8.789,1,0.0385,0.000342,0.227,0.0945,0.481,92.52,audio_features,6WDMOh0LJY9EHO4aIE7dPh,spotify:track:6WDMOh0LJY9EHO4aIE7dPh,https://api.spotify.com/v1/tracks/6WDMOh0LJY9EHO4aIE7dPh,https://api.spotify.com/v1/audio-analysis/6WDMOh0LJY9EHO4aIE7dPh,195880,4,People of the Lie
7,0.287,0.988,0,-5.89,1,0.103,0.00778,0.0556,0.0998,0.183,109.278,audio_features,4iP6rp4XyLdh4zxORd0Tnq,spotify:track:4iP6rp4XyLdh4zxORd0Tnq,https://api.spotify.com/v1/tracks/4iP6rp4XyLdh4zxORd0Tnq,https://api.spotify.com/v1/audio-analysis/4iP6rp4XyLdh4zxORd0Tnq,284973,4,Extreme Aggression
8,0.436,0.94,9,-6.319,1,0.0631,0.000267,3.7e-06,0.161,0.434,192.273,audio_features,0hyFPXxmWqc4xTuHA1hEd9,spotify:track:0hyFPXxmWqc4xTuHA1hEd9,https://api.spotify.com/v1/tracks/0hyFPXxmWqc4xTuHA1hEd9,https://api.spotify.com/v1/audio-analysis/0hyFPXxmWqc4xTuHA1hEd9,202533,4,Phobia
9,0.464,0.976,7,-4.47,1,0.12,1.71e-05,0.159,0.0838,0.35,144.113,audio_features,5xWcWtGd7hOH5y29Oyog4S,spotify:track:5xWcWtGd7hOH5y29Oyog4S,https://api.spotify.com/v1/tracks/5xWcWtGd7hOH5y29Oyog4S,https://api.spotify.com/v1/audio-analysis/5xWcWtGd7hOH5y29Oyog4S,277000,4,Fallen Brother
